imdb_id,title,year,runtime,rating,votes,plot
tt0145856,Jhanak Jhanak Payal Baaje,(1955),143 min,6.5,118,"Dancer maestro Mangal Maharaj wants his son, Girdhar, who is a dancer par excellence, to enter the once-in-ten-years Nateshwar Utsav dance competition, win it, and be crowned the Bharat ...                See full summary »"
tt0106205,Aasoo Bane Angaarey,(1993),150 min,3.3,118,"After the death of his wife, wealthy Mr. Verma re-marries Durgadevi, so that she can look after his son, Ravi. Subsequently, Durga also gets pregnant and gives birth a Kiran. After a few ...                See full summary »"
tt0050734,Musafir,(1957),149 min,7.7,118,The story is about a house consisting of three families who live in it. It is three stories linked by the house.
tt7571718,Panchlait,(2017), ,6.7,117,"Set in either the 1950s or 1960s, Panchlait tells the story of a small village in North India that still has no electricity and its people live in darkness, engrossed in its own little ...                See full summary »"
tt1679290,Shuttlecock Boys,(2011),76 min,6.4,117,"Shuttlecock Boys - Story of Entrepreneurship Dream, is a heart warming tale of 4 boys from Delhi who play badminton in the night in their neighborhood. These boys who come from humble ...                See full summary »"
tt1214948,Bhram: An Illusion,(2008), ,4.1,117,A substance-abusing model believes that her wealthy boyfriend's brother molested and killer her sister.
tt0357710,Gora Aur Kala,(1972),128 min,5.4,117,"The Emperor of a distant Kingdom in India is overjoyed when his wife gives birth to twin sons. Before he could announce his joy openly, his enemies, Zoravar and Shamsher, take over the ...                See full summary »"
tt0273535,Dil Ne Phir Yaad Kiya,(2001), ,3.3,117,"Rahul Khanna (Vinay Anand) and Sonia Chopra (Pooja Batra) are in love, they seek the blessings of their elders, Mahendra Pratap Khanna (Kiran Kumar), Mr. Chopra (Sadashiv Amrapurkar) and ...                See full summary »"
tt0146266,Seema,(1955),140 min,7.3,117,"An orphan gets in trouble with the law and is sent to a home for young women. There, for the first time, she finds friendship, compassion, and possibly love."
tt0092033,Swati,(1986),151 min,5.9,117,"Sharda, a nurse and single mother, raises her daughter Swati as an independent, articulate young woman. Swati is a strong advocate of women's rights in a society where there is significant ...                See full summary »"
tt7791496,Yours Truly,(I) (2018),84 min,5.9,116,"Amidst the daily din of the local trains in Calcutta, a lonely working woman in her late fifties finds herself falling in love with the voice of the railway announcer."
tt2188805,Login,(2012),125 min,5.5,116,This movie is about three characters who are connected to the Internet and end up disconnecting their actual life.
tt1801521,Khap,(2011),125 min,4.9,116,Human rights workers encounter obstacles while investigating killings in modern secular India.
tt1300343,Bhale Donga,(1989), ,7.7,116,Add a Plot
tt10118064,377 AbNormal,(2019),93 min,5.5,116,"377 AbNormal is a ZEE5 Original film starring Sid Makkar, Maanvi Gagroo, Tanvi Azmi, Mohammed Zeeshan Ayyub, Kumud Mishra and Shashank Arora. Inspired by true events, this emotional drama ...                See full summary »"
tt0446889,Aatank,(1996),113 min,3.6,116,Jesu and Peter are childhood friends who live in a coastal village in India and depend on fishing as their livelihood. The community is oppressed by a powerful gangster named Alphonso. Jesu...                See full summary »
tt0374342,Yaad Rakhegi Duniya,(1992),153 min,7.1,116,"A terminally ill and depressed young man falls in love with a mischievous young woman who, it turns out, is also suffering from a fatal disease."
tt0319121,Bulundi,(1981),162 min,6.4,116,A college professor agrees to teach the son of a gangster and becomes a pawn in a deadly game.
tt0178203,Aas Paas,(1981), ,5.9,116,"Arun meets Seema by accident and both are attracted to each other. But Seema has a questionable background, which do create doubts in the minds of Arun and his mother. Arun is then involved...                See full summary »"
tt0177489,Aag Ka Gola,(1990),180 min,4.7,116,Poverty and hunger forces young Shankar to take up employment as a mechanic. To this extent all is well for him until he is arrested by the police for a crime he did not committed; but ...                See full summary »
tt0158768,Mazdoor,(1983),170 min,6.3,116,A laborer-turned-businessman faces challenges after the marriage of his children.
tt0158356,Warrant,(1975),95 min,6.2,116,"During a jail riot instigated by convict Jaggu (Joginder), the Jailer, Arun Mehra's (Dev Anand) life is threatened and another convict, Dinesh (Satish Kaul), risks his life to save Arun. ...                See full summary »"
tt0137947,Mela,(1948),152 min,6.7,116,A convicted murderer is released from prison. His only possession is a broken figurine - the last token of his love. The tragic story of how he came to be incarcerated and the significance ...                See full summary »
tt0105161,Pratikar,(I) (1991),150 min,4.4,116,"After the ""accidental"" death of his father, Narayan Srivastav (Satyen Kappu), young Krishna is driven out of the house by his paternal uncle Sajhan (Paresh Rawal), and goes to live with his...                See full summary »"
tt0069751,Bandhe Haath,(1973),139 min,5.6,116,"Shyamu is an orphan, living with his mentor, and has made stealing his career. While his mentor is recuperating in hospital, from a fracture, Shyamu decides to go straight. He is mistaken ...                See full summary »"
tt0061650,Farz,(1967),170 min,6.2,116,"When Criminal Investigating Officer, Amarnath is murdered during the line of duty; Intelligence suspect it is the handiwork of foreign criminals who wants to destroy India with the help of ...                See full summary »"
tt5467702,1982 - A Love Marriage,(2017),113 min,5.2,115,Arranged Marriage v/s Love Marriage..
tt3309844,Titoo MBA,(2014),111 min,4.4,115,A couple on the brink of divorce explain their separate viewpoints and reasons to their respective lawyers.
tt10500478,Aadhaar,(2019),107 min,6.9,115,"The story revolves around a villager called Pharsua, who is the first to enrol for Aadhaar card in his village but due to a premonition concerning his wife's health by the village priest ...                See full summary »"
tt0233226,Anokha Bandhan,(1982),134 min,6.2,115,"Shyamlal has a happy family with his wife Anu, and step-brother Ram. Anu take care of Ram as her own son. Anu's mother came to her house, who wants that Anu should hate Ram. This creates rift between Anu and Ram."
tt0230991,Zabardast,(1985),159 min,5.1,115,"Ratan Kumar lives a middle-class existence with his wife, Pushpa and son, Sunder. When he is asked to commit a crime for Balram Singh, he does so, but decides to keep a suitcase full of ...                See full summary »"
tt0158122,Professor Pyarelal,(1981),133 min,6.7,115,"Kishinchand has taken to a life of crime, namely that of forging passports, and for that is under surveillance by the police. Upon his wife, Shanti's, and son, Pyarelal's insistence, he ...                See full summary »"
tt0156581,Griha Pravesh,(1979),134 min,7.5,115,"Amar and Mansi meet through their respective families and have an arranged marriage. Amar, a book-keeper, is very thrifty, intends to save money so that they can buy their very own flat, ...                See full summary »"
tt0155074,Pyar Ka Mandir,(1988),148 min,6.0,115,"A man takes the blame of a crime in return for money to get his sister married and educate his brothers. After his release he goes to meet his brothers who are doing well in life, but they reject him."
tt0081624,Thodisi Bewafaii,(1980),150 min,5.8,115,"Arun takes on the responsibility for the care of his step-mother (Sujatha) and step-sisters on the death of his father. Losses in business result in the sale of their palatial home, and ...                See full summary »"
tt0050820,Pardesi,(1957),152 min,6.7,115,"The film is based on travelogues of XV century Russian traveler Afanasy Nikitin called ""A journey beyond the three seas"""
tt4966036,King,(2002),157 min,5.6,114,"Raja and his dad, who live in Hong Kong, are devastated when an accident leaves Raja's father on the verge of death. He decides to reunite his father with his grandfather in order to make them happy."
tt0318405,Love in Simla,(1960), ,6.9,114,"After the untimely death of her father and step-mother, Sonia is orphaned and lives with her aunt and paternal uncle (Mrs. and General Rajpal Singh). Sonia is plain-looking as her real ...                See full summary »"
tt0187202,Kaun Sachcha Kaun Jhootha,(1997),130 min,5.1,114,"Sapna, a Psychiatrist, falls in love with her patient Karan. When Karan gets normal, he asks Sapna to get married. But she disapproves of this relationship. What could be the reason?"
tt0187043,Gair Kaanooni,(1989),152 min,4.3,114,Officer Kapil Khanna was a strict enforcer of the law. In order to gain evidence against the local mafia Don D'Costa he seek ed favour from his underworld friend Aazam Khan a man with a ...                See full summary »
tt0177483,Aadmi,(1993),153 min,5.5,114,"Vijay Srivastav lives a middle-classed lifestyle in Bombay along with dad, Mohanlal, mom, Sharda, and a younger brother, Raju. His father and brother manage a restaurant named 'Sahiba', ...                See full summary »"
tt0130991,Sangdil,(1952),150 min,6.6,114,"A loose adaptation of Charlotte Bronte's classic, Jane Eyre. In this version childhood sweethearts are separated and grow up in different worlds. The girl is brought up to be a 'pujaaran' (...                See full summary »"
tt0113822,Milan,(1995), ,5.0,114,"Raja leads a life of crime; his girlfriend, Priya convinces him to give up his criminal ways to which he agrees to not only earn an honest living but provide the police with the names and ...                See full summary »"
tt0067478,Naya Zamana,(1971),151 min,6.6,114,An idealistic young man fights against the exploitation of the poor by the rich. He had been at the receiving end of their exploitation when a book actually written by him was credited to a rich man.
tt0440463,Hava Aney Dey,(2004),93 min,6.3,113,A collegian in turbulent Mumbai attempts to improve his lifestyle.
tt0389726,Aanch,(2003),160 min,5.5,113,"Diwakar and Vidya, who have never met each other, escape from their marriage after a quarrel between their villages. In the city, Diwakar later learns that she is his lawfully wedded wife."
tt0272651,Hari-Bhari,(2000),134 min,6.4,113,"Ghazala (Shabana Azmi) has been married to Munirmiya (Srivallabh Vyas) for several years, and has given birth to a daughter, Salma (Rajeshwari Sachdev) Munir is unhappy that Ghazala has ...                See full summary »"
